language,code,family,true_value,true_upper_limit,sim_upper_limit,lower_limit,mean
"Baffin_Inuktitut_(Eskimo,_Northumberland_Inlet)",baff1241,Other,0,0,0,0,0
Bafia,bafi1243,Atlantic-Congo,0,0,0,0,0
Bahonsuai,baho1237,Austronesian,0,0,0,0,0
Bahvalal,bagv1239,Nakh-Daghestanian,0.91829,0.91829,0.5187,0.26019,0.30826573
Balaesang,bala1314,Austronesian,0,0,0,0,0
Balangao,bala1310,Austronesian,0,0,0,0,0
Bali_Congo_,bali1274,Atlantic-Congo,0,0,0,0,0
Bali_DRC_,bali1275,Atlantic-Congo,0,0,0,0,0
Balinese,bali1278,Austronesian,0.23646,0.35016,0.35016,0.05717,0.14861931
Balochi,balo1260,Indo-European,1.2244,1.2244,0.54456,0.03255,0.19413438
Bamun,bamu1253,Atlantic-Congo,0,0,0,0,0
Bandjalang,band1339,Pama-Nyungan,1.52205,1.52205,1.06703,0.37858,0.60860129
Banjar,banj1239,Austronesian,0.88654,0.88654,0.3895,0.02281,0.1080268
Bannock,bann1248,Uto-Aztecan,0,0,0,0,0
Bannoni,bann1247,Austronesian,0.88654,0.88654,0.18149,0.00218,0.031858199999999996
Barabet_(Hano),hano1246a,Austronesian,7.3e-4,0.35288,0.35288,7.3e-4,0.04645459
Bardi,bard1254,Other,0,0,0,0,0
Bari,bari1297,Other,0.91829,0.91829,0.46658,0.05791,0.17689855
Bario_Kelabit,bari1288,Austronesian,0.88654,0.88654,0.33073,0.00218,0.03418322
Barok_(Karu),baro1253,Austronesian,0.99679,0.99679,0.75615,0.00647,0.19012951
Baruya,baru1267,Other,0,0,0,0,0
Basque,basq1248,Other,0.91829,0.9183,0.62289,0.05791,0.242319975
Basque,west1508,Other,0.9183,0.9183,0.62289,0.05791,0.242319975
Batak_Toba,bata1289,Austronesian,0.51305,0.78268,0.78268,0.15268,0.38691216
Batanga,bata1285,Atlantic-Congo,2.9183,2.9183,2.31372,1.95915,2.06302647
Bats_Tsova_Tush_,bats1242,Nakh-Daghestanian,0.91829,0.91829,0.52042,0.26019,0.30798601999999997
Baure,baur1253,Arawakan,0,0,0,0,0
Belarusian,bela1254,Indo-European,0.9183,0.9183,0.5345,0.01625,0.14370281000000001
Bemba,bemb1257,Atlantic-Congo,0.98523,0.98523,0.57277,0.23777,0.32107537
Bena_Tanzania_,bena1262,Atlantic-Congo,1.23034,1.23034,0.84133,0.23224,0.45716368
Bende,bend1258,Atlantic-Congo,0.98523,0.98523,0.57277,0.31899,0.38353458
Bengali,beng1280,Indo-European,2.4183,2.4183,1.57945,0.87011,1.20616024
Bera,bera1259,Atlantic-Congo,0.9183,0.9183,0.49569,0.19138,0.30430789
Berik,beri1254,Other,0,0,0,0,0
Bezhta,bezh1248,Nakh-Daghestanian,0.91829,0.91829,0.76163,0.27017,0.38678702
Biak,biak1248,Austronesian,0,0,0,0,0
Bierebo,bier1244,Austronesian,0,0,0,0,0
Big_Nambas,bign1238,Austronesian,1.24696,1.24696,1.04907,0,0.260748735
Big_Nambas,bign1238a,Austronesian,0,1.24696,1.04907,0,0.260748735
Bihari,biha1245,Indo-European,0,0,0,0,0
Bila,bila1255,Atlantic-Congo,1.58496,1.58496,0.87213,0.27008,0.48213307
Bilibil,bilb1241,Austronesian,1.58219,1.58219,0.53598,0.01975,0.17641228
Bilua,bilu1245,Other,0,0,0,0,0
Bindal,bind1236,Pama-Nyungan,0,0,0,0,0
Bininj_Kun-wok,gunw1252,Other,0,0,0,0,0
Binukid_(Talaandig-Binukid),binu1244,Austronesian,0.24269,0.47637,0.47637,0.07509,0.18440439
Birhor,birh1242,Austroasiatic,0.72193,0.72193,0.72193,0.10161,0.25368994
Biri,biri1256,Pama-Nyungan,1.52193,1.52193,0.87298,0.14274,0.34698871
Bit,bitt1240,Austroasiatic,0.44759,0.44759,0.38533,0.20048,0.23408436999999999
Blagar,blag1240,Other,0.74249,0.74249,0.32489,9.1e-4,0.07125361
Blood_Siksika_(Blood_Blackfoot),bloo1239,Algic,0,0,0,0,0
Boano_(Sulawesi),boan1243,Austronesian,0.99679,0.99679,0.37687,0,0.08904355
Boers,afri1274,Indo-European,0.9183,0.9183,0.47804,0.01625,0.14651445
Bontok,bont1247,Austronesian,0.88654,0.88654,0.27136,0.00218,0.04857448
Breton,bret1244,Indo-European,0.9183,0.9183,0.457,0.01625,0.14739
Brooke's_Point_Palawano,broo1239,Austronesian,0,0,0,0,0
Brunei-Sabah_Malay_(Malay),saba1263,Austronesian,0.88654,0.88654,0.3763,0.00218,0.04917324
Budukh,budu1248,Nakh-Daghestanian,0.54085,0.54085,0.41114,0.1941,0.23088312
Budza,budz1238,Atlantic-Congo,0,0,0,0,0
Buhid,buhi1245,Austronesian,0.88654,0.88654,0.3763,0.00218,0.05085381
Buin,buin1247,Other,0.99679,0.99679,0.63727,0.01732,0.15222743
Bukat,buka1261,Austronesian,0.88654,0.88654,0.3763,0.00218,0.05344601
Bukusu,buku1249,Atlantic-Congo,0.45915,0.49206,0.49206,0.04132,0.19753033
Bulgarian,bulg1262,Indo-European,0.91829,0.91829,0.73569,0.2645,0.38646595
Buli,buli1256,Austronesian,0.84535,0.84535,0.57418,0.06808,0.21056225
Bunganditj,bung1264,Pama-Nyungan,1.45091,1.45091,0.8453,0.37291,0.54787397
Bungku,bung1269,Austronesian,0.88654,0.88654,0.42609,0.02281,0.10532741
Bunun,bunu1267,Austronesian,0,0,0,0,0
Burmese,nucl1310,Sino-Tibetan,0,0.25163,0.25163,0,0.10773125
Burmese,burm1266,Sino-Tibetan,0.18873,0.25163,0.25163,0,0.10773125
Buru_(Indonesia),buru1303,Austronesian,0,0,0,0,0
Bushoong,bush1247,Atlantic-Congo,0.91829,0.91829,0.57233,0.02055,0.16277728
Butmas-Tur,butm1237,Austronesian,0.04796,0.1863,0.1863,1.5e-4,0.05142903
Bwaidoga,bwai1243,Austronesian,0,0,0,0,0
Cahuilla,cahu1264,Uto-Aztecan,1.6391,1.6391,1.22288,0.48172,0.80576488
Canarese,nucl1305,Dravidian,0,0,0,0,0
Casiguran_Dumagat_Agta,casi1235,Austronesian,0.88654,0.88654,0.37736,0.02281,0.1089799
Cayubaba,cayu1262,Other,0,0,0,0,0
Cayuga,cayu1261,Other,0,0,0,0,0
Cebuano,cebu1242,Austronesian,0.88654,0.88654,0.37736,0.02281,0.10535245
Central_Aymara,cent2142,Other,0,0,0,0,0
Central_Cagayan_Agta,cent2084,Austronesian,0.88654,0.88654,0.48389,0.1104,0.19333458
Central_Kurdish,cent1972,Indo-European,1.9183,1.9183,0.72548,0.06102,0.27995772
Central_Melanau,cent2101,Austronesian,0.88654,0.88654,0.45373,0.1104,0.19441432
Central_Sama,cent2092,Austronesian,0.88654,0.88654,0.45373,0.02281,0.10894048
Central_Subanen_(Subanung),cent2089,Austronesian,0,0,0,0,0
Central_Tagbanwa,cent2090,Austronesian,0.62925,0.62925,0.27474,0.02757,0.0568992
Cha_palaa,chac1249,Other,0,0,0,0,0
Chamalal,cham1309,Nakh-Daghestanian,0.91829,0.91829,0.48379,0.26019,0.30817271
Chamalal_Gigatli_,giga1238,Nakh-Daghestanian,0.91829,0.91829,0.47445,0.26019,0.30569383
Chamarro,cham1312,Austronesian,0.88654,0.88654,0.49903,0.02991,0.15387621
Chavacano,chav1241,Indo-European,0.88654,0.88654,0.5324,0.1157,0.23939885
Cheke_Holo,chek1238,Austronesian,0,0,0,0,0
Chemehuevi,chem1251,Uto-Aztecan,1,1,1,0,0.26594937
Chenchu,chen1255,Dravidian,1.52193,1.52193,1.05967,0.22193,0.56860159
Chepang,chep1245,Sino-Tibetan,0,0,0,0,0
Cherokee,cher1273,Other,0,0,0,0,0
Chickasa,chic1270,Other,0,0,0,0,0
Chimariko,chim1301,Other,0.84535,0.84535,0.37791,0.05726,0.14204909
Chinese,sini1245,Sino-Tibetan,0,0,0,0,0
Chipaya,chip1262,Other,0,0,0,0,0
Chiricahua,mesc1238,Other,0.15835,0.45915,0.45915,0.00813,0.10014191
Chiriguano,east2555,Tupian,1.00163,1.00163,0.67215,0.3657,0.47948691
Choctaw_(1),choc1276,Other,0.12582,0.25163,0.25163,0.06291,0.14374854
Chokwe,chok1245,Atlantic-Congo,0.94566,0.94566,0.53588,0.02236,0.18633918
Chuukese_(Trukese),chuu1238,Austronesian,0,0,0,0,0
Cinta_Larga,cint1239,Tupian,0.92193,0.92193,0.66636,0.14499,0.3774353
Cocama_Cocamilla,coca1259,Tupian,0.6175,0.6175,0.50242,0.08031,0.1867614
Cocopa,coco1261,Other,1.12068,1.15938,1.15938,0.45953,0.73051582
Cofan,cofa1242,Other,0,0,0,0,0
Colloquial_Malay,mala1479,Austronesian,0.31669,0.31669,0.16874,0.00726,0.05285821
Colorado_Ute,utee1244a,Uto-Aztecan,0,0,0,0,0
Comanche,coma1245,Uto-Aztecan,0.62612,0.88324,0.88324,0.23305,0.47023928
Copper_Inuit,copp1244,Other,0,0,0,0,0
Cora,elna1235,Uto-Aztecan,0,0,0,0,0
Cornish,corn1251,Indo-European,0.72193,0.72193,0.72193,0.03227,0.1149492
Cotabato_Manobo,cota1241,Austronesian,0,0,0,0,0
Cree_of_the_Lowlands,cree1272,Algic,0,0,0,0,0
Creek,cree1270,Other,0,0,0,0,0
Crow,crow1244,Other,0,0,0,0,0
Cruzeño,cruz1243,Other,0,0,0,0,0
Cubeo,cube1242,Other,0.5,0.58528,0.58528,0,0.16364961
Cupeño,cupe1243,Uto-Aztecan,1.58419,1.58419,1.09395,0.49505,0.77216363
Cusco_Quechua,cusc1236,Other,1.19818,1.26408,1.26408,0.28452,0.68849132
Czech,czec1258,Indo-European,0.9183,0.9183,0.50308,0.01625,0.14658035
Daakie,port1286,Austronesian,0.54356,0.54356,0.54356,0.11252,0.21446664
Dakaka,daka1243,Austronesian,0.804,0.804,0.58178,0.03646,0.20735053
Dakota_Blackfoot,lako1247,Other,0,0,0,0,0
Dakota_Brule,brul1239,Other,0,0,0,0,0
Dakota_Isauntie,dako1258,Other,0,0,0,0,0
Dalabon,ngal1292,Other,0,0,0,0,0
Dampelas,damp1237,Austronesian,0.88654,0.88654,0.37527,0.02281,0.10881689
Dandami_Maria,dand1238,Dravidian,1.26346,1.26346,1.01723,0.22368,0.47612994
Danish,dani1285,Indo-European,0.91829,0.91829,0.5187,0.26019,0.30754926
Dargwa_Chirag_,chir1284,Nakh-Daghestanian,0.9183,0.9183,0.4371,0.10917,0.1951848
Dargwa_Itsari_,itsa1239,Nakh-Daghestanian,0.9183,0.9183,0.40031,0.10917,0.19665831
Dari,dari1249,Indo-European,2.25163,2.25163,1.19477,0.48335,0.81048412
Daribi,dadi1250,Other,0.93211,0.93211,0.45814,0.00799,0.09676008999999999
De_kwana_Maquiritari_,maqu1238,Cariban,0.17095,0.26899,0.26899,0.0524,0.12447549
Degexit_an,dege1248,Other,0,0,0,0,0
Dehong,deho1238,Tai-Kadai,0,0,0,0,0
Dehu,dehu1237,Austronesian,0,0,0,0,0
Delaware,comm1246,Algic,0,0,0,0,0
DeneTha_South_Slavey_,sout2959,Other,0.9183,0.9183,0.43822,0.17686,0.25148577
Dene_Suliné,chip1261,Other,0.88654,0.88654,0.48598,0.1104,0.19159336999999999
Dharumbal,dhar1248,Pama-Nyungan,0,0,0,0,0
Dharumbal,dhar1248a,Pama-Nyungan,0,0,0,0,0
Dhuwal,dhuw1249,Pama-Nyungan,0.98523,0.98523,0.46957,0,0.18735074
Dhuwal-Dhuwala_(Yolngu),dhuw1248,Pama-Nyungan,1.40299,1.40299,0.59723,0.07483,0.23636711
Digo,digo1243,Atlantic-Congo,1.58497,1.58497,0.77615,0.14004,0.35616735
Ding,ding1239,Atlantic-Congo,0.91829,0.91829,0.43412,0.15905,0.24064981
Diyari,dier1241,Pama-Nyungan,1.54644,1.76094,1.12822,0.23363,0.643785765
Diyari,dier1241a,Pama-Nyungan,1.76094,1.76094,1.12822,0.23363,0.643785765
Djambarrpuyngu,djam1256,Pama-Nyungan,1.5,1.5,0.87762,0.10569,0.28678291
Djinang,djin1253,Pama-Nyungan,1,1.53012,0.90434,0.0366,0.292323715
Djinang,djin1253a,Pama-Nyungan,1.53012,1.53012,0.90434,0.0366,0.292323715
Dobu,dobu1241,Austronesian,0.60359,0.60359,0.40479,7.1e-4,0.05550502
Dogrib,dogr1252,Other,0,0,0,0,0
Dondo,dond1249,Austronesian,0.88654,0.88654,0.37736,0.02281,0.10918164
Doutai,dout1240,Other,0.07834,0.36291,0.36291,0.00421,0.09229888
Duala,dual1243,Atlantic-Congo,1.52193,1.52193,0.85259,0.13775,0.41643151
Duna,duna1248,Other,0.93211,0.93211,0.36943,0.01598,0.15098492
Dupaningan_Agat,dupa1235,Austronesian,0,0,0,0,0
Dutch,dutc1256,Indo-European,0.9183,0.9183,0.58699,0.01625,0.1449571
Duungidjawu,duun1241,Pama-Nyungan,0.7642,0.7642,0.7642,0.02747,0.20557264
Dyirbal,dyir1250,Pama-Nyungan,1.58496,1.58496,1.47589,0.75614,1.06351158
Dzonghka_Lhop,dzon1239,Sino-Tibetan,0,0,0,0,0
Dzonghka_Wang,wang1287,Sino-Tibetan,0,0,0,0,0
Délįne,nort2942,Other,0.79186,0.79186,0.67285,0.20888,0.33426924
East_Ambae_(Lolovoli),east2443,Austronesian,0,0,0,0,0
East_Futuna,east2447,Austronesian,7.3e-4,0.31347,0.31347,7.3e-4,0.04565827
East_Kewa,east2516,Nuclear Trans New Guinea,0.99679,0.99679,0.63882,0.12131,0.22960221
Easter_Islanders,rapa1244,Austronesian,0,0,0,0,0
Eastern_Armenian,east2283,Indo-European,0.91829,0.91829,0.4638,0.26019,0.30999433
Eastern_Pahari_Nepali_,east1436,Indo-European,0,0,0,0,0
Eastern_Yiddish,east2295,Indo-European,0,0,0,0,0
Edopi,edop1238,Other,0.46606,0.46606,0.38435,0.01225,0.12708761
Eipo,eipo1242,Other,1.48451,1.48451,0.95777,0.27797,0.57825889
Ekari,ekar1243,Other,0,0,0,0,0
Ekonda_Mongo,ekon1238,Atlantic-Congo,0.38454,0.38454,0.2718,0.15375,0.18386456
Elamite,elam1244,Other,0,0,0,0,0
Ellice,tuva1244,Austronesian,0.58497,0.58497,0.49416,0.11613,0.23957675
Emae_(Mae),emae1237,Austronesian,0,0,0,0,0
Emau_(Emao_Island),emau1237,Austronesian,0.98247,0.98247,0.62976,0.01116,0.18792943
Emerillon,emer1243,Tupian,0.31128,0.81128,0.81128,0.06128,0.4143142
Ende_(Papua_New_Guinea),ende1235,Other,0.88654,0.88654,0.62088,0.25361,0.373217
English,stan1293,Indo-European,0.88654,0.88654,0.34819,0.02281,0.10474088
Epena,epen1239,Other,0,0,0,0,0
Erave_(South_Kewa),erav1244,Nuclear Trans New Guinea,0.99679,0.99679,0.54375,0.12131,0.23206185
ErzyaMordvin,erzy1239,Uralic,0,0,0,0,0
"Etchemiu,_or_Malisete",male1293,Algic,0,0.25163,0.25163,0,0.07030932
Eudeve,eude1234,Uto-Aztecan,0,0,0,0,0
Eyak,eyak1241,Other,0,0,0,0,0
Fang_EG,fang1246,Atlantic-Congo,0.25163,0.5781,0.5781,0.11613,0.29311644
Fefe,fefe1239,Atlantic-Congo,0.98523,0.98523,0.73453,0.18267,0.40072941
Fijian,fiji1243,Austronesian,0.93211,0.93211,0.62565,0.17986,0.35470589
Fipa,fipa1238,Atlantic-Congo,1.12193,1.12193,0.53338,0.01008,0.1802471
Foi,foii1241,Other,0.4138,0.98523,0.98523,0.12809,0.31444395
Fordata,ford1242,Austronesian,0,0,0,0,0
Fore,fore1270,Other,0,0,0,0,0
ForestEnets,fore1265,Uralic,0,0,0,0,0
Fortsenal_(Kiai),fort1240,Austronesian,0.94566,0.94566,0.63303,4.5e-4,0.16053028
Frisian,fris1239,Indo-European,0.88654,0.88654,0.57502,0.1157,0.24040458
Futuna-Aniwa,futu1245,Austronesian,0.99679,0.99679,0.59755,0.01314,0.160394
Ga'dang,gada1258,Austronesian,0.88654,0.88654,0.3763,0.00218,0.04918569
Gabrielino,tong1329,Uto-Aztecan,0.61751,1.24067,1.24067,0.11427,0.41517701
Galeia_A,gale1259,Other,1.04644,1.04644,0.82937,0.011,0.26782507
Galibi_Carib,gali1262,Cariban,0.98642,1.15728,1.15728,0.35237,0.75395875
Ganda,gand1255,Atlantic-Congo,1.18201,1.18201,1.1675,0.21057,0.52066401
Gane_(Gimán),gane1237,Austronesian,1.2433,1.2433,0.87226,0.26469,0.50032735
Ganggalida,gang1267,Other,0,0,0,0,0
Gayo,gayo1244,Austronesian,0,0,0,0,0
Gela,gela1263,Austronesian,0.26216,0.26216,0.26216,0,0.06625541
German,stan1295,Indo-European,0.88654,0.88654,0.48435,0.02991,0.1505665
Gimi,gimi1243,Other,0.09235,0.54356,0.54356,0,0.15642331
Giryama,giry1241,Atlantic-Congo,1.82307,1.82307,1.15667,0.45144,0.73084165
Godoberi,ghod1238,Nakh-Daghestanian,0.91829,0.91829,0.50978,0.26019,0.30794538
Gogo,gogo1263,Atlantic-Congo,1.28247,1.28247,0.87118,0.18996,0.43333129
Gondi,gond1265,Dravidian,0,0,0,0,0
Gothic,goth1244,Indo-European,0,0,0,0,0
Grand_Pawnee,pawn1254,Other,0,0,0,0,0
Grand_Valley_Dani,lowe1415,Other,0,0,0,0,0
Guajá,guaj1256,Tupian,1.34948,1.34948,1.24196,0.43597,0.7890031
Guarayu,guar1292,Tupian,0.34975,0.49261,0.49261,0.34975,0.41460844
Guarijio,huar1255,Uto-Aztecan,0,0,0,0,0
Gui_(Gwi),gwii1239,Other,0.453,0.50618,0.50618,0.00913,0.0868303
Gujarati,guja1252,Indo-European,2.25163,2.25163,1.41588,0.75116,1.06830453
Gumatj,guma1253,Pama-Nyungan,0.77995,0.77995,0.48207,0.00787,0.11917478
Gumbaynggir,kumb1268,Pama-Nyungan,1.39215,1.39215,0.80401,0.19382,0.41363254
Gunya,guny1241,Pama-Nyungan,0,0,0,0,0
Gupapuyngu,gupa1247,Pama-Nyungan,1.40854,1.40854,0.8175,0.17857,0.43100852
Gurindji,guri1247,Pama-Nyungan,1,1,0.51816,0.09314,0.22618792
Gusii,gusi1247,Atlantic-Congo,0.91829,0.91829,0.54085,0,0.11056815
Guugu_Yimidhirr,gugu1255,Pama-Nyungan,1.5,1.5,1.41079,0.20518,0.671588265
Guugu_Yimidhirr,gugu1255a,Pama-Nyungan,1.01014,1.5,1.41079,0.20518,0.671588265
Gününa_Küne,puel1244,Other,0.91829,0.91829,0.47445,0.15905,0.24621151
Ha,haaa1252,Atlantic-Congo,1.52193,1.52193,1.05533,0.31748,0.57873805
Hanunoo,hanu1241,Austronesian,0.88654,0.88654,0.33073,0.00218,0.05120746
Hare_Indians_or_Tä-nä'-tin-ne,hare1243,Other,0,0,0,0,0
Hausa,haus1257,Afro-Asiatic,0.58496,0.58496,0.447,0.17686,0.25076523
Hawaiians,hawa1245,Austronesian,0.31669,0.52973,0.52973,0.05575,0.19067233
Haya,haya1250,Atlantic-Congo,1.91829,1.91829,0.78826,0.17237,0.43992878
Hehe,hehe1240,Atlantic-Congo,1.45656,1.45656,1.09141,0.35667,0.63659459
Herero,here1253,Atlantic-Congo,0.94566,0.94566,0.53319,0.19003,0.35130754
Hewa,hewa1241,Other,0.93211,0.93211,0.47374,0.00617,0.0933568
Highland_Puebla_Nahuatl,high1278,Uto-Aztecan,0,0,0,0,0
Hiligaynon,hili1240,Austronesian,0.88654,0.88654,0.3763,0.00218,0.05043736
HillMari,west2392,Uralic,0,0,0,0,0
Hindi,hind1269,Indo-European,2.25163,2.25163,1.44942,0.75116,1.06676941
Hinuq,hinu1240,Nakh-Daghestanian,0.91829,0.91829,0.50978,0.26019,0.30863846
Hittite,hitt1242,Indo-European,0.91829,0.91829,0.54085,0,0.15538563
Hiw,hiww1237,Austronesian,0,0,0,0,0
Hopi,hopi1249,Uto-Aztecan,0,0,0,0,0
Hoti_Yuwana_,yuwa1244,Other,0,0,0,0,0
Huastec_Nahuatl,huas1257,Uto-Aztecan,0,0,0,0,0
Huichol,huic1243,Uto-Aztecan,0,0,0,0,0
Huli,huli1244,Other,0.93211,0.93211,0.39493,0.01429,0.15443248
Hungarian,hung1274,Uralic,0,0,0,0,0
Hunzib,hunz1247,Nakh-Daghestanian,0.9183,0.9183,0.54815,0.10917,0.19731295
Hupa,hupa1239,Other,0,0,0,0,0
I'saka_(Krisa),kris1246,Other,0,0,0,0,0
Iau,iauu1242,Other,3.7e-4,0.25705,0.25705,3.7e-4,0.02792658
Ibaloi_(Nabaloi),ibal1244,Austronesian,0.88654,0.88654,0.33073,0.00218,0.04833846
Iban,iban1264,Austronesian,0.88654,0.88654,0.27136,0.00218,0.0531442
Ibanag,iban1267,Austronesian,0.88654,0.88654,0.25158,0.00218,0.04877306
Icelandic,icel1247,Indo-European,0.91829,0.91829,0.37511,0.05791,0.1729342
Ida'an,idaa1241,Austronesian,0.88654,0.88654,0.3895,0.02281,0.11108864
Idi,nucl1597,Other,0,0,0,0,0
Ifaluk_Nuclear_Woleaian_,nucl1479,Austronesian,0,0.14352,0.14352,0,0.01253041
Ifugaw_(Ifugao),ifug1247,Austronesian,0,0,0,0,0
Igbo,nucl1417,Atlantic-Congo,1.52193,1.52193,1.44644,0.46097,0.84122305
Ignaciano,igna1246,Arawakan,0,0,0,0,0
Ili'uun,iliu1237,Austronesian,0.93211,0.93211,0.33539,0.00701,0.09875912
Ilokano,ilok1237,Austronesian,0.88654,0.88654,0.30712,0.02281,0.10436313
Inanwatan_(Suabo),inan1242,Other,0.4984,0.63043,0.63043,0.07077,0.23776309
Indonesian,indo1316,Austronesian,0.88654,0.88654,0.34819,0.02281,0.10617928
Indonesian_Bajau,indo1317,Austronesian,0.88654,0.88654,0.46861,0.08924,0.20210799
Ingrian,ingr1248,Uralic,0.9183,0.9183,0.35343,0.01625,0.13654008
Ingush,ingu1240,Nakh-Daghestanian,0.91829,0.91829,0.46811,0.26019,0.30662645
Inxokvari,inxo1238,Nakh-Daghestanian,0.91829,0.91829,0.52042,0.26019,0.30911188
