language,code,simulation_code,simulation,mutual_information,entropy_gn,entropy_gn1,conditional_entropy,variation_gn,variation_gn1,number_of_pairs
Sungwadaga,mari1426b,mari1426b_REAL,N,0.35460976126556654,1.9898980954642873,1.3382689280764644,0.9836591668108978,4,3,9
Sungwadia,mari1426a,mari1426a_REAL,N,1.2089873002587999,1.823067982273661,2.299896391167891,1.090909090909091,4,5,8
Sungwaloge_(Nalemba_Edward),mari1426g,mari1426g_REAL,N,0.9494643027794054,1.5726236638951638,1.8585552118703146,0.9090909090909092,3,4,6
Sungwaloge_(Nalemba_Simeone_Tari),mari1426f,mari1426f_REAL,N,1.062656348037272,1.9362600275315274,1.8585552118703146,0.7958988638330426,4,4,7
Sungwaloge_(Navenvene),mari1426d,mari1426d_REAL,N,0.9852281360342514,1.3787834934861753,1.5566567074628228,0.5714285714285714,3,3,4
Sungwaloge_(Tauta),mari1426e,mari1426e_REAL,N,0.9912642605354287,1.8262452584026092,2.1920058354921066,1.2007415749566779,4,5,9
Sungwaloge_(Tawet),mari1426c,mari1426c_REAL,N,0.9940302114769564,1.867633890971212,1.8585552118703144,0.864525000393358,4,4,7
Tadyawan,tady1237,tady1237_REAL,N,0.9182958340544894,0.9182958340544896,1.584962500721156,0.6666666666666666,2,3,3
Tagalog,taga1270,taga1270_REAL,N,0.0,-0.0,1.0,1.0,1,2,2
Tahitians,tahi1242,tahi1242_REAL,N,0.23645279766002802,1.7609640474436812,0.7219280948873623,0.4854752972273343,4,2,5
Tajio,taji1246,taji1246_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Takia,taki1248,taki1248_REAL,N,0.007234486724834621,0.9940302114769565,1.8585552118703146,1.85132072514548,2,4,8
Takuu,taku1257,taku1257_REAL,N,0.10218717094933338,0.5032583347756457,1.4355205042826666,1.3333333333333333,2,3,4
Talise_(Tolo),tali1259,tali1259_REAL,N,0.08168985575561205,1.432983121056005,1.5090275125326515,1.4273376567770395,3,3,8
Tanala,tana1285,tana1285_REAL,N,0.8112781244591327,1.561278124459133,2.0,1.1887218755408673,3,4,7
Tanampedagi_Taje,taje1237b,taje1237b_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Tasiko,tasi1237,tasi1237_REAL,N,0.2916919971380596,1.6644977792004614,0.863120568566631,0.5714285714285714,4,2,5
Taumako,taum1237,taum1237_REAL,N,0.6666666666666666,2.459147917027245,1.4591479170272448,0.7924812503605781,6,3,10
Tausug_(Sulu_Moro),taus1251,taus1251_REAL,N,0.5916727785823275,0.5916727785823275,0.5916727785823275,-0.0,2,2,2
Tausug,taus1251a,taus1251a_REAL,N,0.7219280948873621,0.9219280948873623,1.5219280948873621,0.8,3,3,4
Tetum_(Tetun),tetu1245,tetu1245_REAL,N,0.9910760598382222,1.7527152789797045,1.4355205042826666,0.4444444444444444,4,3,5
Tialo_(Tomini),tomi1243,tomi1243_REAL,N,0.8112781244591327,1.061278124459133,1.5,0.6887218755408673,3,3,4
Tikopia,tiko1237,tiko1237_REAL,N,-2.220446049250313e-16,1.0,1.7924812503605778,1.792481250360578,2,4,8
Tikopia,tiko1237a,tiko1237a_REAL,N,1.131282484597587,2.550340709546388,1.8585552118703144,0.7272727272727274,6,4,10
Tiri-Mea_(Grand_Couli),tiri1258,tiri1258_REAL,N,0.9709505944546686,1.5709505944546687,0.9709505944546686,-0.0,4,2,4
Tokelau,toke1240,toke1240_REAL,N,0.9591479170272448,2.188721875540867,1.4591479170272448,0.5,5,3,7
Tokelau,toke1240a,toke1240a_REAL,N,1.2924812503605778,2.5849625007211565,1.4591479170272446,0.16666666666666666,7,3,8
Tolaki,tola1247,tola1247_REAL,N,0.9182958340544896,1.2516291673878228,0.9182958340544896,-0.0,3,2,3
Tombulu,tomb1243,tomb1243_REAL,N,0.9182958340544894,1.584962500721156,1.584962500721156,0.6666666666666666,5,3,6
Tongan,tong1325,tong1325_REAL,N,0.43003653257726615,2.055036532577266,2.0,1.5699634674227338,5,5,13
Tonsea,tons1240,tons1240_REAL,N,0.9182958340544894,1.584962500721156,1.584962500721156,0.6666666666666666,5,3,6
Toqabaqita,toab1237,toab1237_REAL,N,0.7219280948873623,0.7219280948873623,0.7219280948873623,-0.0,2,2,2
Totoli,toto1304,toto1304_REAL,N,0.6631968402398288,0.8306021151458061,1.4907830471363805,0.8275862068965517,3,3,4
Tuvalu_(Nanumea),tuva1244,tuva1244_REAL,N,0.39827789673580627,1.7055872616982604,1.565596230357602,1.1673183336217958,4,3,8
Ulawa,ulaw1237,ulaw1237_REAL,N,0.9182958340544894,0.9182958340544896,1.584962500721156,0.6666666666666666,2,3,3
Uma_Juman_(Kayan),umaj1240,umaj1240_REAL,N,0.2516291673878229,1.584962500721156,0.9182958340544896,0.6666666666666666,5,2,6
Uripiv-Wala-Rano-Atchin,urip1239,urip1239_REAL,N,1.5566567074628228,2.521640636343318,1.5566567074628228,-0.0,6,3,6
Vaekau-Taumako,pile1238,pile1238_REAL,N,0.15002242164835433,1.8674924611847552,1.3250112108241772,1.1749887891758228,5,3,10
Watut,watu1246,watu1246_REAL,N,0.7083937987380335,2.161978179679554,1.7272486062639207,1.0188548075258872,5,4,10
Wawonii,wawo1239,wawo1239_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
Weda,weda1240,weda1240_REAL,N,0.0,1.0,1.0,1.0,2,2,4
Western_Bukidnon_Manobo,west2555,west2555_REAL,N,0.18905266854301628,1.3485878960124222,1.5726236638951638,1.3835709953521476,3,3,7
Western_Tawbuid_(Batangan),west2559,west2559_REAL,N,0.8112781244591327,0.8112781244591328,1.5,0.6887218755408673,2,3,3
West_Coast_Bajau,west2560,west2560_REAL,N,0.9182958340544894,1.2516291673878228,1.584962500721156,0.6666666666666666,3,3,4
West_Futuna,west2515,west2515_REAL,N,1.0516614106435564,2.1492799881316267,2.1890109092981254,1.137349498654569,5,5,11
Wuvulu_Aua,wuvu1239,wuvu1239_REAL,N,0.09543725231055467,1.3250112108241772,1.4591479170272448,1.3637106647166901,3,3,7
Xalangi_(Maevo_Vanuatu),mari1426h,mari1426h_REAL,N,1.313100666415769,1.9362600275315274,1.8585552118703144,0.5454545454545454,4,4,6
Yabem,yabe1254,yabe1254_REAL,N,1.4146939516467023,2.5190795706241746,2.2986885704510973,0.883994618804395,6,5,11
Yakan,yaka1277,yaka1277_REAL,N,0.8112781244591328,1.186278124459133,0.8112781244591328,-0.0,4,2,4
Yamdena,yamd1240,yamd1240_REAL,N,0.0,-0.0,0.7219280948873623,0.7219280948873623,1,2,2
Yami_Tao_,yami1254,yami1254_REAL,N,1.121928094887362,1.9219280948873623,1.5219280948873621,0.4,4,3,5
