simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,meB,myZ,feB,fyZ,mMZS,mMeZS,mMyZS,mMZeS,mMZyS,fMZS,fMeZS,fMyZS,fMZyS,myB,fyB,mF,mM,mFB,mFZ,mFyB,mFeB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFyB,fFeB,fFeZ,fFyZ,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
201,0.4537127679910249,1.7672696385366202,1.3135568705455953,phuphera bhai,baṛa bhai,mɔsera bhai,mameri bahan,caceri bahan,mamera bhai,mɔsera bhai,cacera bhai,mɔseri bahan,phuphera bhai,caceri bahan,phupheri bahan,mamera bhai,phuphera bhai,cacera bhai,phuphera bhai,cacera bhai,phupheri bahan,mameri bahan,phuphera bhai,choṭī bhan,cacera bhai,baṛa bhai,mɔseri bahan,mamera bhai,caceri bahan,phuphera bhai,cacera bhai,mɔsera bhai,bahan,cacera bhai,phuphera bhai,caceri bahan,mamera bhai,mameri bahan,mɔseri bahan,mameri bahan,phuphera bhai,mɔseri bahan,phuphera bhai,mameri bahan,mamera bhai,mameri bahan,mɔseri bahan,mameri bahan,mɔseri bahan,dīdī,phupheri bahan,bhāī,mamera bhai,mɔseri bahan,phuphera bhai,mameri bahan,mɔsera bhai,caceri bahan,mameri bahan,caceri bahan,bhāī,mɔsera bhai,choṭā bhāī,choṭā bhāī,mɔsera bhai,caceri bahan,mamera bhai,caceri bahan,mɔsera bhai,mɔseri bahan,phupheri bahan,phupheri bahan,phupheri bahan,cacera bhai,choṭī bhan,mɔseri bahan,mamera bhai,phupheri bahan,phupheri bahan,mamera bhai,mamera bhai,mameri bahan,dīdī,cacera bhai,cacera bhai,mɔsera bhai,bahan,phupheri bahan,mɔseri bahan,phupheri bahan,mɔsera bhai,cacera bhai,caceri bahan,tāū,buā,buā,buā,mātā,buā,tāū,mausī,māmā,mausī,tāū,bāp,cācā,māmā,māmā,buā,mausī,tāū,mātā,bāp,māmā,māmā,mausī,buā,māmā,cācā,mausī,mausī
202,0.5248402352751347,1.832608539414381,1.3077683041392463,choṭī bhan,phuphera bhai,mɔsera bhai,mameri bahan,mameri bahan,choṭā bhāī,mamera bhai,phuphera bhai,caceri bahan,mameri bahan,mamera bhai,phupheri bahan,mɔseri bahan,mamera bhai,mameri bahan,phuphera bhai,cacera bhai,phupheri bahan,mamera bhai,mɔseri bahan,cacera bhai,mamera bhai,caceri bahan,mameri bahan,phupheri bahan,mɔseri bahan,mɔseri bahan,phuphera bhai,caceri bahan,baṛa bhai,mameri bahan,phupheri bahan,mɔsera bhai,mamera bhai,mamera bhai,phupheri bahan,mɔsera bhai,mameri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,caceri bahan,phuphera bhai,bahan,phuphera bhai,mɔsera bhai,mamera bhai,mamera bhai,cacera bhai,mɔsera bhai,caceri bahan,choṭī bhan,phupheri bahan,mɔseri bahan,baṛa bhai,cacera bhai,mɔsera bhai,bhāī,bhāī,phupheri bahan,phupheri bahan,caceri bahan,mameri bahan,phuphera bhai,mɔseri bahan,mɔsera bhai,cacera bhai,mameri bahan,dīdī,phuphera bhai,bahan,cacera bhai,mɔsera bhai,phuphera bhai,phupheri bahan,dīdī,mɔseri bahan,cacera bhai,phupheri bahan,cacera bhai,mamera bhai,caceri bahan,caceri bahan,caceri bahan,choṭā bhāī,mɔseri bahan,cacera bhai,cacera bhai,phuphera bhai,mɔseri bahan,tāū,cācā,mausī,mausī,buā,cācā,bāp,mausī,buā,mātā,māmā,mausī,mausī,mātā,māmā,tāū,bāp,māmā,māmā,buā,māmā,tāū,buā,buā,tāū,mausī,māmā,buā
203,0.5048132524996494,1.8287890830260158,1.3239758305263665,phuphera bhai,mɔseri bahan,caceri bahan,mamera bhai,phupheri bahan,phuphera bhai,mɔseri bahan,caceri bahan,caceri bahan,phupheri bahan,cacera bhai,baṛa bhai,mameri bahan,phupheri bahan,mamera bhai,dīdī,mamera bhai,mɔsera bhai,cacera bhai,mamera bhai,phuphera bhai,phupheri bahan,choṭā bhāī,mameri bahan,cacera bhai,mameri bahan,caceri bahan,caceri bahan,phupheri bahan,mɔsera bhai,mamera bhai,mɔseri bahan,mɔsera bhai,mamera bhai,cacera bhai,cacera bhai,baṛa bhai,mameri bahan,mɔseri bahan,mɔsera bhai,mamera bhai,mameri bahan,mɔsera bhai,mamera bhai,phupheri bahan,choṭā bhāī,cacera bhai,mɔsera bhai,mameri bahan,mɔsera bhai,mɔsera bhai,cacera bhai,cacera bhai,caceri bahan,mɔseri bahan,cacera bhai,phuphera bhai,caceri bahan,phupheri bahan,cacera bhai,mɔseri bahan,mameri bahan,phuphera bhai,choṭī bhan,bahan,mɔseri bahan,mamera bhai,dīdī,phuphera bhai,mamera bhai,mɔseri bahan,mameri bahan,choṭī bhan,phuphera bhai,mɔseri bahan,bhāī,caceri bahan,phuphera bhai,phupheri bahan,mameri bahan,caceri bahan,phuphera bhai,phupheri bahan,bahan,phupheri bahan,mɔseri bahan,mameri bahan,phuphera bhai,mɔsera bhai,bhāī,mātā,buā,māmā,buā,māmā,mātā,cācā,buā,mausī,mausī,tāū,bāp,buā,tāū,tāū,cācā,tāū,buā,māmā,bāp,māmā,māmā,mausī,mausī,māmā,mausī,buā,mausī
204,0.4915091635679818,1.8050081685710493,1.3134990050030675,mamera bhai,caceri bahan,mɔsera bhai,mɔseri bahan,phupheri bahan,caceri bahan,mamera bhai,cacera bhai,choṭī bhan,phuphera bhai,mamera bhai,mamera bhai,mameri bahan,mameri bahan,phupheri bahan,phuphera bhai,caceri bahan,mɔseri bahan,mɔseri bahan,cacera bhai,mɔseri bahan,caceri bahan,mɔsera bhai,phupheri bahan,mameri bahan,phupheri bahan,mameri bahan,caceri bahan,caceri bahan,mɔseri bahan,cacera bhai,mɔsera bhai,mamera bhai,mamera bhai,phuphera bhai,bhāī,phuphera bhai,mɔsera bhai,mɔsera bhai,mamera bhai,phuphera bhai,phupheri bahan,cacera bhai,mɔsera bhai,cacera bhai,mameri bahan,bhāī,caceri bahan,caceri bahan,mɔseri bahan,dīdī,bahan,mameri bahan,phuphera bhai,mɔsera bhai,cacera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,cacera bhai,choṭī bhan,cacera bhai,choṭā bhāī,phupheri bahan,phupheri bahan,phuphera bhai,phupheri bahan,phupheri bahan,mɔsera bhai,cacera bhai,mamera bhai,baṛa bhai,cacera bhai,mamera bhai,bahan,caceri bahan,choṭā bhāī,mameri bahan,mɔseri bahan,mameri bahan,mɔseri bahan,baṛa bhai,mamera bhai,mameri bahan,phuphera bhai,mɔsera bhai,dīdī,mɔseri bahan,mameri bahan,phupheri bahan,māmā,mausī,mātā,buā,māmā,tāū,buā,mātā,māmā,tāū,mausī,buā,buā,mausī,bāp,tāū,buā,mausī,māmā,māmā,cācā,mausī,cācā,mausī,tāū,bāp,māmā,buā
205,0.4817052566996176,1.7511557750682805,1.2694505183686629,phuphera bhai,mɔsera bhai,mameri bahan,mɔsera bhai,phupheri bahan,phupheri bahan,mamera bhai,cacera bhai,phuphera bhai,phuphera bhai,mɔsera bhai,cacera bhai,mameri bahan,dīdī,caceri bahan,cacera bhai,mɔsera bhai,caceri bahan,cacera bhai,choṭā bhāī,mamera bhai,caceri bahan,caceri bahan,cacera bhai,phuphera bhai,phupheri bahan,phupheri bahan,dīdī,choṭī bhan,bhāī,mamera bhai,phupheri bahan,mɔseri bahan,mɔseri bahan,baṛa bhai,caceri bahan,phuphera bhai,mameri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,mɔseri bahan,mameri bahan,phuphera bhai,mamera bhai,caceri bahan,mamera bhai,phuphera bhai,mamera bhai,mɔsera bhai,mamera bhai,mameri bahan,phupheri bahan,bhāī,mɔseri bahan,mamera bhai,phupheri bahan,caceri bahan,mɔsera bhai,choṭā bhāī,mɔseri bahan,cacera bhai,bahan,cacera bhai,mameri bahan,mameri bahan,cacera bhai,phuphera bhai,phuphera bhai,caceri bahan,cacera bhai,mamera bhai,mamera bhai,mɔsera bhai,mɔseri bahan,phupheri bahan,mɔseri bahan,mɔsera bhai,phupheri bahan,cacera bhai,bahan,choṭī bhan,mameri bahan,mɔseri bahan,baṛa bhai,mameri bahan,caceri bahan,mameri bahan,mɔseri bahan,mɔseri bahan,buā,māmā,tāū,māmā,bāp,māmā,buā,mausī,mātā,māmā,buā,buā,cācā,māmā,cācā,bāp,mausī,buā,māmā,mausī,mausī,mausī,tāū,tāū,buā,mātā,tāū,mausī
206,0.4749560206808916,1.8178801000157456,1.342924079334854,phuphera bhai,mamera bhai,phuphera bhai,caceri bahan,mamera bhai,mɔseri bahan,mɔseri bahan,mɔsera bhai,phupheri bahan,choṭī bhan,baṛa bhai,caceri bahan,mɔseri bahan,phupheri bahan,mɔsera bhai,bahan,phupheri bahan,caceri bahan,mameri bahan,bhāī,bhāī,cacera bhai,phuphera bhai,mameri bahan,cacera bhai,mameri bahan,mɔseri bahan,mamera bhai,caceri bahan,bahan,phuphera bhai,phupheri bahan,choṭā bhāī,mameri bahan,mɔsera bhai,caceri bahan,mamera bhai,cacera bhai,choṭī bhan,cacera bhai,mameri bahan,cacera bhai,mɔsera bhai,phuphera bhai,mamera bhai,phuphera bhai,baṛa bhai,mɔsera bhai,cacera bhai,dīdī,choṭā bhāī,mameri bahan,phuphera bhai,mameri bahan,mameri bahan,mamera bhai,mɔseri bahan,cacera bhai,cacera bhai,mamera bhai,mɔseri bahan,phupheri bahan,mamera bhai,phupheri bahan,mɔseri bahan,phuphera bhai,phupheri bahan,caceri bahan,mɔseri bahan,caceri bahan,mɔsera bhai,mɔseri bahan,cacera bhai,mɔsera bhai,dīdī,phuphera bhai,mameri bahan,caceri bahan,phupheri bahan,mamera bhai,phupheri bahan,cacera bhai,mɔseri bahan,mamera bhai,phupheri bahan,mɔsera bhai,mameri bahan,mɔsera bhai,phuphera bhai,caceri bahan,mātā,mausī,mausī,buā,māmā,bāp,cācā,mausī,mātā,bāp,tāū,tāū,buā,mausī,māmā,buā,buā,māmā,māmā,mausī,tāū,māmā,mausī,māmā,tāū,buā,cācā,buā
207,0.5061726990943576,1.809333848572598,1.3031611494782405,dīdī,mamera bhai,mameri bahan,mameri bahan,mɔsera bhai,baṛa bhai,phuphera bhai,phupheri bahan,caceri bahan,caceri bahan,mameri bahan,mɔseri bahan,mamera bhai,mɔsera bhai,mamera bhai,caceri bahan,phupheri bahan,phupheri bahan,mamera bhai,phupheri bahan,mɔseri bahan,cacera bhai,bahan,caceri bahan,phupheri bahan,mamera bhai,mɔseri bahan,mɔseri bahan,mɔseri bahan,cacera bhai,bhāī,mɔseri bahan,cacera bhai,mameri bahan,mɔseri bahan,mamera bhai,mɔsera bhai,phuphera bhai,caceri bahan,cacera bhai,phupheri bahan,phuphera bhai,phuphera bhai,phupheri bahan,bahan,caceri bahan,mɔsera bhai,phuphera bhai,mamera bhai,cacera bhai,phuphera bhai,mɔsera bhai,mɔsera bhai,mameri bahan,mɔsera bhai,phupheri bahan,cacera bhai,mameri bahan,mamera bhai,mɔsera bhai,mɔseri bahan,mɔseri bahan,phupheri bahan,phuphera bhai,mamera bhai,mamera bhai,mɔsera bhai,choṭā bhāī,choṭī bhan,phuphera bhai,mameri bahan,cacera bhai,caceri bahan,phupheri bahan,choṭī bhan,phuphera bhai,mɔseri bahan,mameri bahan,baṛa bhai,phuphera bhai,dīdī,caceri bahan,caceri bahan,cacera bhai,choṭā bhāī,mameri bahan,mameri bahan,bhāī,cacera bhai,cacera bhai,māmā,mausī,māmā,māmā,mausī,māmā,cācā,tāū,māmā,bāp,mausī,buā,mausī,buā,buā,māmā,bāp,buā,mātā,mātā,tāū,mausī,buā,cācā,mausī,tāū,tāū,buā
208,0.35635471333242186,1.8235732462884007,1.4672185329559788,cacera bhai,mɔseri bahan,mamera bhai,mɔsera bhai,phuphera bhai,caceri bahan,cacera bhai,phuphera bhai,mameri bahan,mɔseri bahan,mɔseri bahan,mɔsera bhai,cacera bhai,choṭī bhan,choṭā bhāī,mamera bhai,mamera bhai,mɔseri bahan,caceri bahan,mɔsera bhai,bhāī,baṛa bhai,phuphera bhai,choṭī bhan,caceri bahan,bhāī,phupheri bahan,cacera bhai,mamera bhai,phuphera bhai,phuphera bhai,mameri bahan,mɔseri bahan,mamera bhai,caceri bahan,mameri bahan,cacera bhai,mameri bahan,cacera bhai,mɔseri bahan,choṭā bhāī,caceri bahan,mɔseri bahan,mɔsera bhai,phupheri bahan,phuphera bhai,mɔsera bhai,phupheri bahan,mɔsera bhai,cacera bhai,phupheri bahan,dīdī,phuphera bhai,mamera bhai,mameri bahan,mɔseri bahan,bahan,mamera bhai,mɔseri bahan,phupheri bahan,cacera bhai,phuphera bhai,caceri bahan,baṛa bhai,phupheri bahan,cacera bhai,mameri bahan,phuphera bhai,caceri bahan,cacera bhai,phupheri bahan,mameri bahan,phuphera bhai,phupheri bahan,dīdī,bahan,mɔseri bahan,caceri bahan,mɔsera bhai,mamera bhai,mɔsera bhai,mamera bhai,phupheri bahan,mɔsera bhai,mameri bahan,mameri bahan,phupheri bahan,caceri bahan,mameri bahan,mamera bhai,bāp,cācā,buā,māmā,mausī,mausī,buā,mausī,tāū,māmā,mausī,tāū,māmā,cācā,māmā,tāū,buā,māmā,mausī,bāp,māmā,tāū,mausī,buā,buā,mātā,mātā,buā
209,0.3552196124972158,1.8393307534373116,1.4841111409400958,caceri bahan,mamera bhai,cacera bhai,dīdī,phupheri bahan,mɔseri bahan,phuphera bhai,choṭā bhāī,bahan,choṭī bhan,baṛa bhai,mamera bhai,mɔseri bahan,phuphera bhai,caceri bahan,mɔseri bahan,caceri bahan,phupheri bahan,mɔseri bahan,mɔsera bhai,cacera bhai,mamera bhai,mɔsera bhai,phupheri bahan,mɔseri bahan,mɔsera bhai,mɔseri bahan,dīdī,phupheri bahan,phuphera bhai,cacera bhai,phuphera bhai,mamera bhai,mameri bahan,bhāī,mɔsera bhai,cacera bhai,mɔsera bhai,bhāī,mɔseri bahan,mameri bahan,mameri bahan,phuphera bhai,mɔsera bhai,phupheri bahan,mameri bahan,phupheri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mamera bhai,choṭī bhan,phuphera bhai,mɔsera bhai,mamera bhai,mameri bahan,mameri bahan,phupheri bahan,mamera bhai,cacera bhai,phuphera bhai,phuphera bhai,baṛa bhai,caceri bahan,mɔseri bahan,caceri bahan,cacera bhai,phuphera bhai,phupheri bahan,choṭā bhāī,mameri bahan,phupheri bahan,cacera bhai,caceri bahan,mameri bahan,mamera bhai,mɔseri bahan,mameri bahan,caceri bahan,cacera bhai,mamera bhai,caceri bahan,cacera bhai,mɔsera bhai,mamera bhai,cacera bhai,bahan,caceri bahan,mātā,tāū,mausī,māmā,mausī,buā,buā,māmā,bāp,cācā,māmā,mausī,tāū,māmā,mausī,cācā,mātā,buā,buā,māmā,māmā,bāp,tāū,buā,tāū,mausī,mausī,buā
210,0.4393836141593961,1.7998905591809802,1.360506945021584,mɔseri bahan,phupheri bahan,mɔseri bahan,caceri bahan,mɔseri bahan,phupheri bahan,bahan,mamera bhai,mɔsera bhai,phupheri bahan,mɔseri bahan,mameri bahan,mamera bhai,mɔseri bahan,phuphera bhai,bahan,caceri bahan,caceri bahan,mamera bhai,mɔsera bhai,caceri bahan,caceri bahan,mameri bahan,phuphera bhai,choṭā bhāī,baṛa bhai,mamera bhai,mamera bhai,mamera bhai,cacera bhai,bhāī,mɔsera bhai,phupheri bahan,mameri bahan,mameri bahan,mameri bahan,choṭī bhan,phuphera bhai,phuphera bhai,mamera bhai,baṛa bhai,cacera bhai,phupheri bahan,mamera bhai,mɔseri bahan,mameri bahan,caceri bahan,cacera bhai,caceri bahan,cacera bhai,caceri bahan,dīdī,mameri bahan,phupheri bahan,phuphera bhai,dīdī,phuphera bhai,mɔsera bhai,cacera bhai,phuphera bhai,phupheri bahan,cacera bhai,mameri bahan,mameri bahan,phupheri bahan,mɔsera bhai,cacera bhai,mɔseri bahan,mɔsera bhai,phupheri bahan,phuphera bhai,choṭī bhan,mɔsera bhai,caceri bahan,choṭā bhāī,mamera bhai,phuphera bhai,mameri bahan,bhāī,mamera bhai,cacera bhai,cacera bhai,phupheri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,cacera bhai,mɔsera bhai,mɔseri bahan,mɔseri bahan,tāū,māmā,buā,buā,tāū,tāū,buā,buā,mausī,mausī,mātā,buā,bāp,māmā,cācā,māmā,mausī,bāp,tāū,buā,māmā,cācā,māmā,mausī,mātā,mausī,mausī,māmā
211,0.43773300625411027,1.862360978042947,1.4246279717888368,mɔseri bahan,cacera bhai,phupheri bahan,mamera bhai,choṭī bhan,mameri bahan,choṭā bhāī,phuphera bhai,mɔseri bahan,phupheri bahan,mamera bhai,mɔsera bhai,mɔsera bhai,mameri bahan,mamera bhai,mɔseri bahan,mameri bahan,bhāī,dīdī,mameri bahan,cacera bhai,caceri bahan,phupheri bahan,cacera bhai,mɔsera bhai,baṛa bhai,cacera bhai,caceri bahan,mamera bhai,mɔseri bahan,choṭā bhāī,mamera bhai,mɔseri bahan,phupheri bahan,caceri bahan,bhāī,phupheri bahan,bahan,phupheri bahan,phuphera bhai,cacera bhai,bahan,phuphera bhai,mɔsera bhai,mɔsera bhai,caceri bahan,caceri bahan,cacera bhai,cacera bhai,caceri bahan,phupheri bahan,caceri bahan,caceri bahan,mɔsera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,mamera bhai,cacera bhai,phupheri bahan,mɔseri bahan,mameri bahan,mamera bhai,dīdī,cacera bhai,phuphera bhai,mɔseri bahan,caceri bahan,phuphera bhai,mamera bhai,choṭī bhan,phuphera bhai,mameri bahan,mamera bhai,cacera bhai,mamera bhai,phupheri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,baṛa bhai,phuphera bhai,mɔsera bhai,mameri bahan,mameri bahan,phuphera bhai,mameri bahan,mɔseri bahan,phupheri bahan,mɔsera bhai,bāp,cācā,buā,mausī,māmā,mausī,mausī,māmā,bāp,buā,buā,mātā,tāū,mausī,mausī,māmā,tāū,mausī,buā,mātā,māmā,tāū,māmā,tāū,māmā,buā,buā,cācā
212,0.43637978503530084,1.7990887591184859,1.362708974083185,choṭā bhāī,cacera bhai,mɔseri bahan,mɔseri bahan,cacera bhai,cacera bhai,mɔsera bhai,mɔsera bhai,phuphera bhai,phuphera bhai,mameri bahan,caceri bahan,phupheri bahan,phuphera bhai,mɔseri bahan,cacera bhai,mameri bahan,mamera bhai,mɔsera bhai,mɔseri bahan,mɔseri bahan,caceri bahan,mɔsera bhai,mameri bahan,mamera bhai,mɔsera bhai,phupheri bahan,mamera bhai,caceri bahan,mamera bhai,phuphera bhai,phuphera bhai,mamera bhai,cacera bhai,caceri bahan,mɔseri bahan,mamera bhai,phuphera bhai,phupheri bahan,cacera bhai,phupheri bahan,mameri bahan,mameri bahan,mɔsera bhai,bhāī,mɔsera bhai,bahan,mamera bhai,phupheri bahan,mameri bahan,mɔsera bhai,cacera bhai,phupheri bahan,cacera bhai,choṭī bhan,mamera bhai,mɔseri bahan,phuphera bhai,choṭī bhan,mɔseri bahan,mameri bahan,bhāī,choṭā bhāī,phuphera bhai,phupheri bahan,mamera bhai,mameri bahan,mɔsera bhai,phuphera bhai,phupheri bahan,caceri bahan,mɔseri bahan,caceri bahan,cacera bhai,mɔseri bahan,phuphera bhai,baṛa bhai,caceri bahan,dīdī,caceri bahan,phupheri bahan,caceri bahan,cacera bhai,phupheri bahan,mameri bahan,dīdī,baṛa bhai,mamera bhai,mameri bahan,bahan,buā,māmā,mausī,mausī,bāp,buā,buā,tāū,mausī,māmā,tāū,cācā,mātā,tāū,buā,mātā,māmā,tāū,mausī,cācā,mausī,māmā,māmā,bāp,buā,māmā,buā,mausī
213,0.5038567794213595,1.846349542075281,1.3424927626539214,caceri bahan,phuphera bhai,mɔsera bhai,phuphera bhai,mɔsera bhai,phupheri bahan,phupheri bahan,mɔseri bahan,mameri bahan,phupheri bahan,mɔseri bahan,dīdī,mɔsera bhai,phuphera bhai,caceri bahan,mamera bhai,caceri bahan,mamera bhai,mamera bhai,phuphera bhai,caceri bahan,phupheri bahan,phupheri bahan,mamera bhai,mamera bhai,caceri bahan,mameri bahan,baṛa bhai,mɔseri bahan,mɔsera bhai,mamera bhai,mɔsera bhai,mamera bhai,cacera bhai,mameri bahan,cacera bhai,cacera bhai,phuphera bhai,mɔsera bhai,mameri bahan,cacera bhai,cacera bhai,mɔseri bahan,choṭī bhan,mɔsera bhai,choṭī bhan,phuphera bhai,cacera bhai,mɔseri bahan,cacera bhai,mamera bhai,choṭā bhāī,mɔseri bahan,mameri bahan,bhāī,mamera bhai,cacera bhai,mɔseri bahan,mamera bhai,caceri bahan,mameri bahan,phupheri bahan,mɔsera bhai,bahan,bhāī,caceri bahan,mameri bahan,phuphera bhai,mɔseri bahan,phuphera bhai,phupheri bahan,phuphera bhai,phupheri bahan,mameri bahan,choṭā bhāī,mɔseri bahan,dīdī,phuphera bhai,caceri bahan,mameri bahan,bahan,caceri bahan,phupheri bahan,mɔsera bhai,phupheri bahan,cacera bhai,cacera bhai,mɔseri bahan,mameri bahan,baṛa bhai,māmā,bāp,buā,māmā,buā,māmā,buā,buā,mātā,mātā,cācā,mausī,mausī,mausī,cācā,tāū,mausī,māmā,mausī,tāū,tāū,tāū,bāp,mausī,māmā,buā,buā,māmā
214,0.4777842267072938,1.784288435169531,1.3065042084622371,caceri bahan,cacera bhai,mɔsera bhai,phuphera bhai,mamera bhai,caceri bahan,mameri bahan,phuphera bhai,mɔseri bahan,mameri bahan,phupheri bahan,bahan,phupheri bahan,mɔseri bahan,cacera bhai,phupheri bahan,bahan,mɔseri bahan,cacera bhai,mamera bhai,cacera bhai,dīdī,caceri bahan,cacera bhai,bhāī,phuphera bhai,mameri bahan,mamera bhai,phuphera bhai,phuphera bhai,choṭī bhan,phupheri bahan,bhāī,mɔseri bahan,phupheri bahan,cacera bhai,phupheri bahan,mɔsera bhai,phuphera bhai,choṭā bhāī,mɔseri bahan,cacera bhai,caceri bahan,mɔsera bhai,mameri bahan,mɔseri bahan,mɔsera bhai,phuphera bhai,phuphera bhai,mameri bahan,mɔseri bahan,phupheri bahan,mameri bahan,mɔseri bahan,mɔsera bhai,mamera bhai,caceri bahan,mɔsera bhai,caceri bahan,mamera bhai,mamera bhai,cacera bhai,mamera bhai,caceri bahan,mɔsera bhai,mɔsera bhai,mamera bhai,mɔseri bahan,mamera bhai,caceri bahan,cacera bhai,caceri bahan,mɔsera bhai,phuphera bhai,phupheri bahan,dīdī,mamera bhai,cacera bhai,phupheri bahan,mɔseri bahan,phuphera bhai,baṛa bhai,choṭā bhāī,baṛa bhai,mameri bahan,mameri bahan,mameri bahan,mameri bahan,phupheri bahan,choṭī bhan,cācā,mausī,buā,tāū,mausī,māmā,bāp,buā,māmā,mātā,mausī,buā,tāū,buā,tāū,māmā,buā,mausī,māmā,bāp,mausī,tāū,buā,māmā,cācā,mausī,mātā,māmā
215,0.53762725538371,1.8123251878861277,1.2746979325024177,choṭā bhāī,mɔseri bahan,mamera bhai,cacera bhai,cacera bhai,phupheri bahan,phuphera bhai,caceri bahan,bahan,bahan,mameri bahan,mameri bahan,mamera bhai,cacera bhai,choṭā bhāī,caceri bahan,dīdī,choṭī bhan,baṛa bhai,choṭī bhan,mameri bahan,mɔsera bhai,caceri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,caceri bahan,cacera bhai,mamera bhai,mamera bhai,mɔsera bhai,phuphera bhai,bhāī,mɔsera bhai,phuphera bhai,cacera bhai,cacera bhai,mameri bahan,mamera bhai,phupheri bahan,caceri bahan,phuphera bhai,mɔseri bahan,caceri bahan,mameri bahan,mamera bhai,mɔsera bhai,phupheri bahan,dīdī,mɔseri bahan,bhāī,phuphera bhai,mɔsera bhai,mameri bahan,caceri bahan,mameri bahan,phupheri bahan,mamera bhai,phuphera bhai,phupheri bahan,mameri bahan,mɔsera bhai,phupheri bahan,mɔseri bahan,mɔseri bahan,mɔseri bahan,phupheri bahan,cacera bhai,cacera bhai,mɔsera bhai,mɔseri bahan,phuphera bhai,mɔseri bahan,mamera bhai,phupheri bahan,cacera bhai,mameri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,mameri bahan,phuphera bhai,caceri bahan,baṛa bhai,mamera bhai,mɔseri bahan,caceri bahan,mamera bhai,cacera bhai,phupheri bahan,buā,bāp,mātā,tāū,mausī,cācā,māmā,tāū,buā,mausī,tāū,buā,mātā,mausī,māmā,buā,mausī,tāū,cācā,mausī,mausī,buā,buā,māmā,māmā,bāp,māmā,māmā
216,0.3640694915230469,1.7762112542115098,1.412141762688463,phuphera bhai,mɔseri bahan,choṭī bhan,dīdī,caceri bahan,cacera bhai,mamera bhai,cacera bhai,cacera bhai,cacera bhai,mɔsera bhai,mɔseri bahan,baṛa bhai,mɔsera bhai,cacera bhai,caceri bahan,phupheri bahan,caceri bahan,phupheri bahan,phupheri bahan,mɔseri bahan,mɔseri bahan,mɔsera bhai,phuphera bhai,mɔseri bahan,choṭī bhan,bhāī,mameri bahan,phuphera bhai,caceri bahan,mameri bahan,caceri bahan,mɔsera bhai,mameri bahan,phupheri bahan,phuphera bhai,mamera bhai,mɔseri bahan,mameri bahan,caceri bahan,phuphera bhai,mɔsera bhai,phuphera bhai,mameri bahan,mɔseri bahan,choṭā bhāī,phuphera bhai,phupheri bahan,mamera bhai,mameri bahan,mamera bhai,phuphera bhai,mamera bhai,mɔseri bahan,mamera bhai,mameri bahan,bahan,mɔsera bhai,mɔsera bhai,mamera bhai,mameri bahan,dīdī,cacera bhai,mamera bhai,cacera bhai,mamera bhai,bhāī,mɔsera bhai,phupheri bahan,mɔseri bahan,caceri bahan,phupheri bahan,choṭā bhāī,cacera bhai,mɔseri bahan,cacera bhai,phuphera bhai,mamera bhai,caceri bahan,mɔsera bhai,baṛa bhai,phupheri bahan,phuphera bhai,caceri bahan,phupheri bahan,bahan,cacera bhai,mameri bahan,mameri bahan,phupheri bahan,māmā,buā,buā,cācā,bāp,mausī,mausī,māmā,buā,tāū,tāū,māmā,mausī,cācā,bāp,mausī,māmā,māmā,tāū,mausī,buā,mātā,mausī,māmā,buā,mātā,buā,tāū
